"scenario","region","technology","mean_Jobs","min_Jobs","max_Jobs"
"CAP-A-MAIN","Europe_Non_EU","OEW",1662150.2787686,1662150.2787686,1662150.2787686
"CAP-A-MAIN","Europe_Non_EU","TEW",86421.28843994,86421.28843994,86421.28843994
"CAP-A-MAIN","European Free Trade Association","BECCS",1406933.3398044,117244.4449837,3517333.349511
"CAP-A-MAIN","European Free Trade Association","DAC",3935009.702637,3935009.702637,3935009.702637
"CAP-A-MAIN","European Free Trade Association","OEW",877398.198222,877398.198222,877398.198222
"CAP-A-MAIN","European Free Trade Association","TEW",4449.19728238,4449.19728238,4449.19728238
"CAP-A-MAIN","India","BECCS",19290710.437536,1607559.203128,48226776.09384
"CAP-A-MAIN","India","DAC",27240196.33638,27240196.33638,27240196.33638
"CAP-A-MAIN","India","OEW",6395281.802406,6395281.802406,6395281.802406
"CAP-A-MAIN","India","TEW",504751.2615072,504751.2615072,504751.2615072
"CAP-A-MAIN","Indonesia","BECCS",4923216.0520116,410268.0043343,12308040.130029
"CAP-A-MAIN","Indonesia","DAC",7812312.713688,7812312.713688,7812312.713688
"CAP-A-MAIN","Indonesia","OEW",1843858.5041966,1843858.5041966,1843858.5041966
"CAP-A-MAIN","Indonesia","TEW",110866.1799608,110866.1799608,110866.1799608
"CAP-A-MAIN","Japan","BECCS",3399285.3610512,283273.7800876,8498213.402628
"CAP-A-MAIN","Japan","DAC",13141251.37062,13141251.37062,13141251.37062
"CAP-A-MAIN","Japan","OEW",2952156.81683,2952156.81683,2952156.81683
"CAP-A-MAIN","Japan","TEW",19214.63996,19214.63996,19214.63996
"CAP-A-MAIN","Mexico","BECCS",3148641.2392932,262386.7699411,7871603.098233
"CAP-A-MAIN","Mexico","DAC",6314282.022459,6314282.022459,6314282.022459
"CAP-A-MAIN","Mexico","OEW",1004645.2683526,1004645.2683526,1004645.2683526
"CAP-A-MAIN","Mexico","TEW",54883.02956612,54883.02956612,54883.02956612
"CAP-A-MAIN","Middle East","BECCS",6257704.0576752,521475.3381396,15644260.144188
"CAP-A-MAIN","Middle East","DAC",14208612.328614,14208612.328614,14208612.328614
"CAP-A-MAIN","Middle East","OEW",2879491.156128,2879491.156128,2879491.156128
"CAP-A-MAIN","Middle East","TEW",98718.4921926,98718.4921926,98718.4921926
"CAP-A-MAIN","Pakistan","BECCS",2152538.79367692,179378.23280641,5381346.9841923
"CAP-A-MAIN","Pakistan","DAC",2376117.552051,2376117.552051,2376117.552051
"CAP-A-MAIN","Pakistan","OEW",594151.4512584,594151.4512584,594151.4512584
"CAP-A-MAIN","Pakistan","TEW",58591.72658308,58591.72658308,58591.72658308
"CAP-A-MAIN","Russia","BECCS",2721950.6403648,226829.2200304,6804876.600912
"CAP-A-MAIN","Russia","DAC",5645008.739964,5645008.739964,5645008.739964
"CAP-A-MAIN","Russia","OEW",792703.9055074,792703.9055074,792703.9055074
"CAP-A-MAIN","Russia","TEW",57843.84963378,57843.84963378,57843.84963378
