"scenario","region","mean_Jobs","min_Jobs","max_Jobs"
"EQP-B","China",70580551.5952574,53884837.6970534,97900810.7014094
"EQP-B","Colombia",4541605.52235212,3612754.75098866,6061543.1482196
"EQP-B","EU-12",2374406.03495268,1715862.42394036,3452022.85297284
"EQP-B","EU-15",14809611.1477038,9900520.2238447,22842669.0231096
"EQP-B","Europe_Eastern",1375430.6063132,1092801.98331758,1837913.80757876
"EQP-B","Europe_Non_EU",1757043.67060308,1355810.24969322,2413607.45027376
"EQP-B","European Free Trade Association",916260.63063592,496909.53880812,1602471.50817232
"EQP-B","India",101491962.88338,74817627.026519,145140876.103698
"EQP-B","Indonesia",14974178.3351306,10332207.3508283,22570130.854898
"EQP-B","Japan",5288977.41728226,3986262.57572556,7420692.61255686
"EQP-B","Mexico",9763453.13797988,7001776.52835828,14282560.3173607
"EQP-B","Middle East",25278649.9746598,19285552.9116793,35085536.0777188
"EQP-B","Pakistan",20190992.5910618,15437846.1751208,27968868.5444198
"EQP-B","Russia",7995408.92083802,5894931.90957352,11432553.121089
"EQP-B","South Africa",3872659.66746056,2853671.36153398,5540095.0771586
"EQP-B","South America_Northern",3473609.09841374,2805639.82282738,4566649.73119142
"EQP-B","South America_Southern",9372035.86800626,7512946.78774103,12414181.635713
"EQP-B","South Asia",21307354.1203816,16746644.48717,28770333.5201824
"EQP-B","South Korea",1123665.4170093,980883.173548926,1357309.08812627
"EQP-B","Southeast Asia",27948315.4083894,20276752.9697845,40501781.2170156
"EQP-B","Taiwan",1352998.58991102,947154.12148646,2017107.7200603
"EQP-B","USA",26750613.2294706,19832179.4730859,38071686.6490092
"REP-A","Africa_Eastern",4340303.08442266,2553394.48328269,7264335.34083352
"REP-A","Africa_Northern",10697519.3427772,7969704.65639912,15161216.102305
"REP-A","Africa_Southern",4189973.86808188,3021882.66322845,6101395.83966022
"REP-A","Africa_Western",11158374.8696725,7575934.30252156,17020550.3431922
"REP-A","Argentina",3195057.7659272,2618564.95313031,4138409.64141302
"REP-A","Australia_NZ",7162966.1765173,5915911.95022657,9203600.36499304
"REP-A","Brazil",8496692.60869324,6974845.28498598,10986988.2293051
"REP-A","Canada",7684551.06892214,5882247.49313624,10633775.1020263
"REP-A","Central America and Caribbean",3126304.65223896,2015099.10863586,4944640.99631676
"REP-A","Central Asia",8830093.15726556,7361251.76073426,11233651.806135
"REP-A","China",159207483.365201,131446553.597388,204634459.348895
"REP-A","Colombia",1998297.03580087,1477913.97422678,2849832.95474029
"REP-A","EU-12",10847918.5116461,8681643.33824088,14392732.4317637
"REP-A","EU-15",37235654.9280342,27244223.4104777,53585270.1385812
"REP-A","Europe_Eastern",4830283.1712692,3932210.45099271,6299856.71353982
"REP-A","Europe_Non_EU",8057076.5948606,6617713.7280187,10412397.6496928
"REP-A","European Free Trade Association",781547.4060057,410335.6153802,1388984.8815747
"REP-A","India",66859773.1385512,46687806.552569,99868445.7337948
"REP-A","Indonesia",10995338.92251,7344306.42516924,16969755.7363404
"REP-A","Japan",14318974.9335461,11649995.674357,18686395.5394919
"REP-A","Mexico",7895890.10560206,5474619.49576409,11857969.2853369
"REP-A","Middle East",31969921.2030828,24759963.5172651,43768033.7798754
"REP-A","Pakistan",4378034.11390912,2593152.42281695,7298749.60842358
"REP-A","Russia",23908687.2701834,18761619.7037173,32331161.4698552
"REP-A","South Africa",7321570.88259628,5845268.22613028,9737338.86590428
"REP-A","South America_Northern",1346887.3020699,1010538.09562214,1897276.91262078
"REP-A","South America_Southern",4267727.15262176,3080636.8379702,6210238.57659704
"REP-A","South Asia",4642324.27144306,3033007.45522991,7275751.78888276
"REP-A","South Korea",8183144.3896941,7124532.5016978,9915418.3882335
"REP-A","Southeast Asia",24375114.5056716,17589247.5212828,35479260.480126
"REP-A","Taiwan",3588307.18446464,2692649.71507312,5053928.4980144
"REP-A","USA",73076709.352329,57079735.2099468,99253576.1307726
"REP-B","Africa_Eastern",4708918.79018723,2698479.8363933,7998727.98730457
"REP-B","Africa_Northern",10666298.8019509,7932170.2940412,15140327.2694395
"REP-B","Africa_Southern",4281429.5769348,3065993.88000121,6270324.35373522
"REP-B","Africa_Western",11417114.8392098,7742806.38426516,17429619.5836646
"REP-B","Argentina",12101645.1355599,10629380.7375783,14510805.0595299
"REP-B","Australia_NZ",7095720.63209502,5847696.45665511,9137942.0100876
"REP-B","Brazil",34746242.4950581,30801556.8313349,41201182.6720597
"REP-B","Canada",6472522.47824066,4853831.26053666,9121289.92539266
"REP-B","Central America and Caribbean",4505824.7201276,3013076.5719528,6948503.50805
"REP-B","Central Asia",15318377.554631,13267919.7706223,18673672.1102816
"REP-B","China",158832022.580238,131018054.094495,204345789.193272
"REP-B","Colombia",5116181.00345864,4090973.59857082,6793793.1205478
"REP-B","EU-12",2465821.2582921,1778179.95453544,3591052.48262118
"REP-B","EU-15",15467129.8411636,10272440.0333297,23967531.3448918
"REP-B","Europe_Eastern",1367524.52857086,1081198.86261431,1836057.43649976
"REP-B","Europe_Non_EU",1746679.94621196,1339020.04696657,2413759.78134078
"REP-B","European Free Trade Association",781501.90939002,410834.04707472,1388049.32045142
"REP-B","India",67019848.4027918,46720839.3704128,100236408.637594
"REP-B","Indonesia",11026025.5339817,7366449.34137864,17014422.9400595
"REP-B","Japan",5705386.66620744,4242364.66648079,8099422.66576014
"REP-B","Mexico",12078771.0969242,8759611.52927394,17510123.1167156
"REP-B","Middle East",31904735.8703488,24693983.5657996,43704148.7323384
"REP-B","Pakistan",4407611.0132204,2613561.25165304,7343328.80487608
"REP-B","Russia",19138362.7100882,14743710.106998,26329612.4242358
"REP-B","South Africa",7294589.38122882,5811738.89619312,9721071.99310542
"REP-B","South America_Northern",4752860.01246002,3883805.87075966,6174948.6079697
"REP-B","South America_Southern",16924279.841924,14349921.7551544,21136865.8020924
"REP-B","South Asia",4646422.92574746,3030403.37518688,7290818.5539375
"REP-B","South Korea",1118598.50774639,973117.247043116,1356658.75253356
"REP-B","Southeast Asia",24666686.4383348,17717264.7417207,36038467.3964306
"REP-B","Taiwan",3577161.74280144,2679137.37287337,5046656.1663201
"REP-B","USA",72346520.8111866,56438003.3581573,98378640.27978
